チーム名,攻撃ポイント,守備ポイント,奪取ポイント,順位,勝点,得点,失点
川崎フロンターレ川崎Ｆ,744.44,425.99,3831.97,1,85,72,25
横浜Ｆ・マリノス横浜FM,758.44,384.0,3456.56,2,75,78,32
ヴィッセル神戸神戸,520.91,493.02,3332.13,3,67,58,34
鹿島アントラーズ鹿島,528.94,440.02,3408.93,4,62,60,36
名古屋グランパス名古屋,458.63,465.09,3199.22,5,62,40,27
浦和レッズ浦和,533.77,467.95,3168.78,6,59,43,36
サガン鳥栖鳥栖,532.31,472.59,3130.73,7,56,42,32
アビスパ福岡福岡,379.0,536.89,3423.94,8,51,40,35
ＦＣ東京FC東京,469.43,482.08,3069.28,9,49,47,50
サンフレッチェ広島広島,554.88,470.35,3313.89,10,46,39,37
セレッソ大阪Ｃ大阪,493.33,483.78,3034.22,11,45,43,44
北海道コンサドーレ札幌札幌,636.94,418.17,3705.52,12,45,44,48
ガンバ大阪Ｇ大阪,481.1,529.9,2972.44,13,43,31,42
柏レイソル柏,471.88,452.87,3368.69,14,40,34,50
湘南ベルマーレ湘南,434.73,500.72,3486.05,15,33,34,40
清水エスパルス清水,410.36,501.47,2783.58,16,33,33,53
徳島ヴォルティス徳島,454.56,442.73,3004.75,17,30,29,51
大分トリニータ大分,420.23,523.56,2992.43,18,28,26,53
ベガルタ仙台仙台,395.11,554.71,3067.73,19,27,29,57
横浜ＦＣ横浜FC,387.7,495.69,2987.11,20,27,32,72
